Book Title,Author(s),Year Published,Film Name,Release Year,Director
The Joy Luck Club,Amy Tan,1989,The Joy Luck Club,1993,Wayne Wang
No Country  for Old Men,Cormac McCarthy,2005,No Country  for Old Men,2007,Ethan Coen
,,,,,Joel Coen
Howl's Moving Castle,Diana Wynne Jones,1986,Howl's Moving Castle,2004,Hayao Miyazaki
The Age of Innocence,Edith Wharton,1921,The Age of Innocence,1993,Martin Scorsese
The Wizard of Oz,Frank Baum,1900,The Wizard of Oz,1939,Victor Fleming
1984,George Orwell,1949,1984,1984,Michael Radford
The Last King of Scotland,Giles Foden,1998,The Last King of Scotland,2006,Kevin Macdonald
Gone Girl,Gillian Flynn,2012,Gone Girl,2014,David Fincher
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,Harry Potter and the Philosopher's Stone,2001,Chris Columbus
Harry Potter and the Chamber of Secrets,J.K. Rowling,1998,Harry Potter and the Chamber of Secrets,2002,Chris Columbus
Harry Potter and Prisoner of Azkaban,J.K. Rowling,1999,Harry Potter and the Prisoner of Azkaban,2004,Alfonso Cuaron
Harry Potter and The Goblet of Fire,J.K. Rowling,2000,Harry Potter and the Goblet of Fire,2005,Mike Newell
Harry Potter and the Order of the Phoenix,J.K. Rowling,2003,Harry Potter and the Order of the Phoenix,2007,David Yates
Harry Potter and the Half-Blood Prince,J.K. Rowling,2005,Harry Potter and the Half-Blood Prince,2009,David Yates
Harry Potter and the Deathly Hallows,J.K. Rowling,2007,Harry Potter and the Deathly Hallows (part 1),2010,David Yates
,,,Harry Potter and the Deathly Hallows (part 2),2011,David Yates
The Maze Runner,James Dashner,2009,The Maze Runner ,2014,Wes Ball
The Scorch Trials,James Dashner,2010,The Scorch Trials,2015,Wes Ball
The Death Cure,James Dashner,2011,The Death Cure,2018,Wes Ball
Beautiful Creatures,Kami Garcia,2009,Beautiful Creatures,2013,Richard LeGravenese
,Margaret Stohl,,,,
Anna Karenina,Leo Tolstoy,1878,Anna Karenina,2012,Joe Wright
The Giver,Lois Lowry,1993,The Giver,2014,Phillip Noyce
Hidden Figures,Margot Lee Shetterly,2016,Hidden Figures,2017,Theodore Melfi
Jurassic Park,Michael Crichton,1990,Jurassic Park,1993,Steven Speilberg
Coraline,Neil Gaiman,2002,Coraline,2009,Henry Selick
A Scanner Darkly,Philip K. Dick,1977,A Scanner Darkly,2006,Richard Linklater
Matilda,Roald Dahl,1988,Matilda,1996,Danny Devito
Twilight,Stephanie Meyer,2005,Twilight,2008,Catherine Hardwicke
New Moon,Stephanie Meyer,2006,New Moon,2009,Chris Weitz
Eclipse,Stephanie Meyer,2007,Eclipse,2010,David Slade
Breaking Dawn,Stephanie Meyer,2008,Breaking Dawn (part 1),2011,Bill Condon
,,,Breaking Dawn (part 2),2012,Bill Condon
The Host,Stephanie Meyer,2008,The Host,2013,Andrew Niccol
The Perks of Being a Wallflower,Stephen Chbosky,1999,The Perks of Being a Wallflower,2012,Stephen Chbosky
Pet Sematary,Stephen King,1983,Pet Sematary,1989,Mary Lambert
The Green Mile,Stephen King,1996,The Green Mile,1999,Frank Darabont
Carrie ,Stephen King,1974,Carrie,1976,Brian De Palma
Doctor Sleep,Stephen King,2013,Doctor Sleep,2019,Mike Flanagan
The Shining,Stephen King,1977,The Shining,1980,Stanley Kubrick
The Mist,Stephen King,1980,The Mist,2007,Frank Darabont
1408,Stephen King,1999,1408,2007,Mikael Håfström
Cujo,Stephen King,1981,Cujo,1983,Lewis Teague
Rita Hayworth and Shawshank Redemption,Stephen King,1982,The Shawshank Redemption,1994,Frank Darabont
The Dead Zone,Stephen King,1979,The Dead Zone,1983,David Cronenberg
1922,Stephen King,2010,1922,2017,Zak Hilditch
Dolores Claiborne,Stephen King,1992,Dolores Claiborne,1995,Taylor Hackford
The Secret Life of Bees,Sue Monk Kidd,2001,The Secret Life of Bees,2008,Gina Prince-Bythewood
The Hunger Games,Suzanne Collins,2008,The Hunger Games,2012,Gary Ross
Catching Fire,Suzanne Collins,2009,Catching Fire,2013,Francis Lawrence
The Mockingjay,Suzanne Collins,2010,The Mockingjay (part 1),2014,Francis Lawrence
,,,The Mockingjay (part 2),2015,Francis Lawrence
Hannibal,Thomas Harris,1999,Hannibal,2001,Ridley Scott
Red Dragon ,Thomas Harris,1981,Red Dragon,2002,Brett Ratner